text,risk_label,win_label
The vendor must provide a detailed plan for the management of project procurement.,medium,1
The contract requires the vendor to achieve specific service levels for accuracy.,high,0
Bidders must accept responsibility for the management of project integration.,medium,1
The client requires the vendor to provide a detailed plan for the management of project issues.,medium,1
The proposal must include a plan for the management of project assumptions.,low,1
Bidders must agree to a clause allowing the client to require the removal of personnel.,high,0
The vendor must provide a detailed plan for the management of project constraints.,medium,1
The contract requires the vendor to achieve specific service levels for reliability.,high,0
Bidders must accept responsibility for the management of project lessons learned.,low,1
The client requires the vendor to provide a detailed plan for the management of project closeout.,low,1
The proposal must outline the vendor's approach to risk management.,medium,1
Bidders must guarantee the accessibility of the solution for users with disabilities.,high,0
The contract requires the vendor to achieve specific service levels for timeliness.,high,0
The proposal must include a plan for the management of project quality.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's financial stability.,medium,0
The vendor must provide a detailed plan for the management of project time.,medium,1
The contract requires the vendor to achieve specific service levels for completeness.,high,0
Bidders must accept responsibility for the management of project cost.,medium,1
The client requires the vendor to provide a detailed plan for the management of project resources.,medium,1
The proposal must outline the vendor's approach to stakeholder management.,low,1
Bidders must guarantee the functionality of the solution as per the requirements.,medium,1
The vendor must provide a detailed plan for the management of project communications.,medium,1
The contract requires the vendor to achieve specific service levels for professionalism.,medium,1
Bidders must accept responsibility for the management of project stakeholders.,medium,1
The client requires the vendor to provide a detailed plan for the management of project procurement.,medium,1
The proposal must include a plan for the management of project integration.,low,1
Bidders must agree to a clause allowing the client to modify the project scope.,high,0
The vendor must provide a detailed plan for the management of project issues.,medium,1
The contract requires the vendor to achieve specific service levels for documentation.,high,0
The client requires the vendor to provide a detailed plan for the management of project constraints.,medium,1
The proposal must outline the vendor's approach to issue management.,low,1
Bidders must guarantee the performance of the solution under load.,high,0
The vendor must provide a detailed plan for the management of project lessons learned.,low,1
The contract requires the vendor to achieve specific service levels for communication.,high,0
Bidders must accept responsibility for the management of project closeout.,low,1
The client requires the vendor to provide a detailed plan for the management of project archives.,low,1
The proposal must include a plan for the management of project changes.,low,1
Bidders must agree to a clause allowing the client to terminate for breach of contract.,high,0
The vendor must provide a detailed plan for the management of project risks.,medium,1
The contract requires the vendor to achieve specific service levels for reporting accuracy.,high,0
Bidders must accept responsibility for the management of project quality.,medium,1
The proposal must outline the vendor's approach to change management.,low,1
Bidders must guarantee the stability of the solution for the contract duration.,medium,1
The vendor must provide a detailed plan for the management of project cost.,medium,1
The contract requires the vendor to achieve specific service levels for issue resolution.,high,0
Bidders must accept responsibility for the management of project resources.,medium,1
The client requires the vendor to provide a detailed plan for the management of project communications.,medium,1
The proposal must include a plan for the management of project stakeholders.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's security practices.,high,0
The contract requires the vendor to achieve specific service levels for risk mitigation.,high,0
The proposal must outline the vendor's approach to quality assurance.,medium,1
Bidders must guarantee the security of the solution against cyber threats.,high,0
The vendor must provide a detailed plan for the management of project assumptions.,low,1
The contract requires the vendor to achieve specific service levels for cost control.,high,0
Bidders must accept responsibility for the management of project constraints.,medium,1
The client requires the vendor to provide a detailed plan for the management of project lessons learned.,low,1
Bidders must agree to a clause allowing the client to require the replacement of personnel.,high,0
The contract requires the vendor to achieve specific service levels for resource management.,high,0
The proposal must outline the vendor's approach to project governance.,low,1
Bidders must guarantee the availability of the solution 24/7/365.,high,0
The contract requires the vendor to achieve specific service levels for stakeholder satisfaction.,high,0
Bidders must accept responsibility for the management of project time.,medium,1
The client requires the vendor to provide a detailed plan for the management of project cost.,medium,1
The proposal must include a plan for the management of project resources.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's compliance.,high,0
The contract requires the vendor to achieve specific service levels for procurement efficiency.,high,0
The proposal must outline the vendor's approach to communication planning.,low,1
Bidders must guarantee the integrity of the solution data.,high,0
The vendor must provide a detailed plan for the management of project integration.,medium,1
The contract requires the vendor to achieve specific service levels for integration testing.,high,0
The client requires the vendor to provide a detailed plan for the management of project assumptions.,low,1
The proposal must include a plan for the management of project constraints.,low,1
Bidders must agree to a clause allowing the client to modify the project timeline.,high,0
The contract requires the vendor to achieve specific service levels for user training.,high,0
The proposal must outline the vendor's approach to resource allocation.,low,1
Bidders must guarantee the confidentiality of the solution data.,high,0
The vendor must provide a detailed plan for the management of project changes.,medium,1
The contract requires the vendor to achieve specific service levels for data backup.,high,0
Bidders must accept responsibility for the management of project risks.,medium,1
The client requires the vendor to provide a detailed plan for the management of project quality.,medium,1
The proposal must include a plan for the management of project time.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's performance metrics.,high,0
The contract requires the vendor to achieve specific service levels for disaster recovery.,high,0
The proposal must outline the vendor's approach to cost estimation.,low,1
Bidders must guarantee the availability of support resources.,medium,1
The vendor must provide a detailed plan for the management of project stakeholders.,medium,1
The contract requires the vendor to achieve specific service levels for security patches.,high,0
Bidders must accept responsibility for the management of project procurement.,medium,1
The client requires the vendor to provide a detailed plan for the management of project integration.,medium,1
The proposal must include a plan for the management of project issues.,low,1
Bidders must agree to a clause allowing the client to reject the deliverables.,high,0
The contract requires the vendor to achieve specific service levels for system uptime.,high,0
The proposal must outline the vendor's approach to scheduling.,low,1
Bidders must guarantee the quality of the deliverables.,medium,1
The vendor must provide a detailed plan for the management of project closeout.,low,1
The contract requires the vendor to achieve specific service levels for incident response.,high,0
Bidders must accept responsibility for the management of project archives.,low,1
The client requires the vendor to provide a detailed plan for the management of project changes.,medium,1
The proposal must include a plan for the management of project risks.,low,1
Bidders must agree to a clause allowing the client to require additional resources.,high,0
The contract requires the vendor to achieve specific service levels for defect resolution.,high,0
The proposal must outline the vendor's approach to risk assessment.,low,1
Bidders must guarantee the compliance of the solution with regulations.,high,0
The contract requires the vendor to achieve specific service levels for project governance.,high,0
The client requires the vendor to provide a detailed plan for the management of project stakeholders.,medium,1
The proposal must include a plan for the management of project procurement.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's processes.,high,0
The contract requires the vendor to achieve specific service levels for communication clarity.,high,0
The proposal must outline the vendor's approach to scope definition.,low,1
Bidders must guarantee the scalability of the infrastructure.,medium,1
The contract requires the vendor to achieve specific service levels for reporting timeliness.,high,0
The proposal must include a plan for the management of project archives.,low,1
Bidders must agree to a clause allowing the client to terminate for insolvency.,high,0
The contract requires the vendor to achieve specific service levels for budget adherence.,high,0
The proposal must outline the vendor's approach to team management.,low,1
Bidders must guarantee the interoperability of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for deliverable quality.,high,0
The proposal must include a plan for the management of project communications.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's deliverables.,high,0
The contract requires the vendor to achieve specific service levels for schedule adherence.,high,0
The proposal must outline the vendor's approach to budget management.,low,1
Bidders must guarantee the availability of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for risk management.,high,0
The proposal must include a plan for the management of project lessons learned.,low,1
Bidders must agree to a clause allowing the client to modify the project budget.,high,0
The contract requires the vendor to achieve specific service levels for stakeholder engagement.,high,0
The proposal must outline the vendor's approach to integration testing.,low,1
Bidders must guarantee the functionality of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for change management.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's timeline.,high,0
The contract requires the vendor to achieve specific service levels for procurement quality.,high,0
The proposal must outline the vendor's approach to issue resolution.,low,1
Bidders must guarantee the reliability of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for integration quality.,high,0
Bidders must agree to a clause allowing the client to require specific personnel.,high,0
The contract requires the vendor to achieve specific service levels for documentation quality.,high,0
The proposal must outline the vendor's approach to closeout procedures.,low,1
Bidders must guarantee the maintainability of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for archive accuracy.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's resources.,high,0
The contract requires the vendor to achieve specific service levels for time tracking.,high,0
The proposal must outline the vendor's approach to resource forecasting.,low,1
Bidders must guarantee the portability of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for communication effectiveness.,high,0
Bidders must agree to a clause allowing the client to terminate for non-performance.,high,0
The contract requires the vendor to achieve specific service levels for issue tracking.,high,0
The proposal must outline the vendor's approach to assumption analysis.,low,1
Bidders must guarantee the accessibility of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for lesson documentation.,high,0
Bidders must agree to a clause allowing the client to require a third-party audit.,high,0
The contract requires the vendor to achieve specific service levels for risk reporting.,high,0
The proposal must outline the vendor's approach to quality control.,medium,1
Bidders must guarantee the security of the solution.,high,0
The contract requires the vendor to achieve specific service levels for cost reporting.,high,0
Bidders must agree to a clause allowing the client to modify the project scope without cost adjustment.,high,0
The contract requires the vendor to achieve specific service levels for procurement reporting.,high,0
Bidders must Accept responsibility for the management of project integration.,medium,1
The proposal must outline the vendor's approach to issue tracking.,low,1
Bidders must guarantee the performance of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for assumption validation.,high,0
The contract requires the vendor to achieve specific service levels for archive management.,high,0
The proposal must outline the vendor's approach to risk mitigation.,low,1
Bidders must guarantee the usability of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for quality assurance.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's security infrastructure.,high,0
The contract requires the vendor to achieve specific service levels for communication protocols.,high,0
The proposal must outline the vendor's approach to procurement strategy.,low,1
Bidders must guarantee the integrity of the solution.,medium,1
The contract requires the vendor to achieve specific service levels for integration protocols.,high,0
Bidders must agree to a clause allowing the client to modify the project timeline without cost adjustment.,high,0
The contract requires the vendor to achieve specific service levels for lesson sharing.,high,0
The proposal must outline the vendor's approach to archive management.,low,1
Bidders must guarantee the confidentiality of the solution.,high,0
The contract requires the vendor to achieve specific service levels for change requests.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's financial records.,high,0
The contract requires the vendor to achieve specific service levels for cost tracking.,high,0
The proposal must outline the vendor's approach to communication protocols.,low,1
Bidders must guarantee the availability of the solution for users.,medium,1
The contract requires the vendor to achieve specific service levels for stakeholder communication.,high,0
Bidders must agree to a clause allowing the client to reject non-conforming work.,high,0
The contract requires the vendor to achieve specific service levels for assumption management.,high,0
The proposal must outline the vendor's approach to lesson documentation.,low,1
Bidders must guarantee the quality of the solution components.,medium,1
The contract requires the vendor to achieve specific service levels for closeout procedures.,high,0
Bidders must agree to a clause allowing the client to require specific deliverables.,high,0
The contract requires the vendor to achieve specific service levels for quality control.,high,0
The proposal must outline the vendor's approach to cost control.,low,1
Bidders must guarantee the compliance of the solution with standards.,high,0
The contract requires the vendor to achieve specific service levels for resource utilization.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's project management.,high,0
The contract requires the vendor to achieve specific service levels for integration management.,high,0
The proposal must outline the vendor's approach to assumption management.,low,1
Bidders must guarantee the scalability of the solution architecture.,medium,1
The contract requires the vendor to achieve specific service levels for constraint management.,high,0
Bidders must agree to a clause allowing the client to terminate for material breach.,high,0
The contract requires the vendor to achieve specific service levels for change control.,high,0
The proposal must outline the vendor's approach to quality metrics.,low,1
Bidders must guarantee the interoperability of the solution components.,medium,1
The contract requires the vendor to achieve specific service levels for time management.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's technical solution.,high,0
The contract requires the vendor to achieve specific service levels for stakeholder management.,high,0
The proposal must outline the vendor's approach to integration strategy.,low,1
Bidders must guarantee the functionality of the solution modules.,medium,1
The contract requires the vendor to achieve specific service levels for issue management.,high,0
Bidders must agree to a clause allowing the client to modify the project budget without adjustment.,high,0
The contract requires the vendor to achieve specific service levels for closeout documentation.,high,0
The proposal must outline the vendor's approach to change control.,low,1
Bidders must guarantee the reliability of the solution infrastructure.,medium,1
The contract requires the vendor to achieve specific service levels for risk analysis.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's compliance documentation.,high,0
The contract requires the vendor to achieve specific service levels for resource allocation.,high,0
The proposal must outline the vendor's approach to stakeholder engagement.,low,1
Bidders must guarantee the availability of the solution features.,medium,1
The contract requires the vendor to achieve specific service levels for procurement management.,high,0
Bidders must agree to a clause allowing the client to require specific technologies.,high,0
The contract requires the vendor to achieve specific service levels for constraint analysis.,high,0
The proposal must outline the vendor's approach to closeout documentation.,low,1
Bidders must guarantee the maintainability of the solution code.,medium,1
The contract requires the vendor to achieve specific service levels for archive storage.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's security protocols.,high,0
The contract requires the vendor to achieve specific service levels for time reporting.,high,0
The proposal must outline the vendor's approach to resource optimization.,low,1
Bidders must guarantee the portability of the solution data.,medium,1
The contract requires the vendor to achieve specific service levels for communication frequency.,high,0
Bidders must agree to a clause allowing the client to terminate for convenience with 24 hours notice.,high,0
The contract requires the vendor to achieve specific service levels for issue resolution time.,high,0
The proposal must outline the vendor's approach to constraint mitigation.,low,1
Bidders must guarantee the accessibility of the solution interface.,medium,1
The contract requires the vendor to achieve specific service levels for lesson dissemination.,high,0
Bidders must agree to a clause allowing the client to require a performance bond of 50%.,high,0
The contract requires the vendor to achieve specific service levels for risk monitoring.,high,0
The proposal must outline the vendor's approach to time estimation.,low,1
Bidders must guarantee the security of the solution architecture.,high,0
The contract requires the vendor to achieve specific service levels for cost estimation.,high,0
Bidders must agree to a clause allowing the client to modify the project scope without notice.,high,0
The contract requires the vendor to achieve specific service levels for procurement timelines.,high,0
The proposal must outline the vendor's approach to issue escalation.,low,1
Bidders must guarantee the performance of the solution infrastructure.,medium,1
The contract requires the vendor to achieve specific service levels for assumption tracking.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's sub-contractors.,high,0
The contract requires the vendor to achieve specific service levels for archive retrieval.,high,0
The proposal must outline the vendor's approach to risk identification.,low,1
Bidders must guarantee the usability of the solution interface.,medium,1
The contract requires the vendor to achieve specific service levels for quality metrics.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's security personnel.,high,0
The proposal must outline the vendor's approach to procurement timelines.,low,1
Bidders must guarantee the integrity of the solution database.,high,0
The contract requires the vendor to achieve specific service levels for integration timelines.,high,0
Bidders must agree to a clause allowing the client to modify the project timeline without notice.,high,0
The contract requires the vendor to achieve specific service levels for lesson incorporation.,high,0
The proposal must outline the vendor's approach to archive storage.,low,1
Bidders must guarantee the confidentiality of the solution architecture.,high,0
The contract requires the vendor to achieve specific service levels for change approval.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's data handling.,high,0
Bidders must guarantee the availability of the solution support.,medium,1
Bidders must agree to a clause allowing the client to reject non-conforming deliverables without payment.,high,0
The proposal must outline the vendor's approach to lesson dissemination.,low,1
Bidders must guarantee the quality of the solution documentation.,medium,1
The contract requires the vendor to achieve specific service levels for closeout timelines.,high,0
Bidders must agree to a clause allowing the client to require specific deliverables without cost.,high,0
The contract requires the vendor to achieve specific service levels for quality documentation.,high,0
Bidders must guarantee the compliance of the solution with laws.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's billing records.,high,0
The proposal must outline the vendor's approach to assumption validation.,low,1
Bidders must guarantee the scalability of the solution design.,medium,1
The contract requires the vendor to achieve specific service levels for constraint mitigation.,high,0
Bidders must agree to a clause allowing the client to terminate for breach of confidentiality.,high,0
The contract requires the vendor to achieve specific service levels for change implementation.,high,0
The proposal must outline the vendor's approach to quality planning.,low,1
Bidders must guarantee the interoperability of the solution interfaces.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's infrastructure.,high,0
The proposal must outline the vendor's approach to integration planning.,low,1
Bidders must guarantee the functionality of the solution components.,medium,1
Bidders must agree to a clause allowing the client to modify the project budget arbitrarily.,high,0
The contract requires the vendor to achieve specific service levels for closeout reporting.,high,0
The proposal must outline the vendor's approach to change implementation.,low,1
Bidders must guarantee the reliability of the solution components.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's quality control.,high,0
The proposal must outline the vendor's approach to stakeholder communication.,low,1
Bidders must guarantee the availability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to require specific technologies without cost.,high,0
The contract requires the vendor to achieve specific service levels for constraint tracking.,high,0
The proposal must outline the vendor's approach to closeout reporting.,low,1
Bidders must guarantee the maintainability of the solution design.,medium,1
The contract requires the vendor to achieve specific service levels for archive retention.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's disaster recovery plan.,high,0
The contract requires the vendor to achieve specific service levels for time estimation.,high,0
The proposal must outline the vendor's approach to resource planning.,low,1
Bidders must guarantee the portability of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to terminate for non-compliance.,high,0
The proposal must outline the vendor's approach to constraint analysis.,low,1
Bidders must guarantee the accessibility of the solution design.,medium,1
Bidders must agree to a clause allowing the client to require a 100% performance bond.,high,0
Bidders must guarantee the security of the solution components.,high,0
The contract requires the vendor to achieve specific service levels for cost management.,high,0
Bidders must agree to a clause allowing the client to modify the project timeline arbitrarily.,high,0
Bidders must guarantee the performance of the solution services.,medium,1
The contract requires the vendor to achieve specific service levels for assumption analysis.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's personnel qualifications.,high,0
The proposal must outline the vendor's approach to risk management.,low,1
Bidders must guarantee the usability of the solution design.,medium,1
The contract requires the vendor to achieve specific service levels for quality management.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's compliance with laws.,high,0
The contract requires the vendor to achieve specific service levels for communication management.,high,0
Bidders must guarantee the integrity of the solution architecture.,high,0
Bidders must agree to a clause allowing the client to modify the project budget unilaterally.,high,0
The proposal must outline the vendor's approach to archive retention.,low,1
Bidders must guarantee the confidentiality of the solution components.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's environmental impact.,high,0
Bidders must guarantee the availability of the solution infrastructure.,medium,1
Bidders must agree to a clause allowing the client to reject deliverables without reason.,high,0
The proposal must outline the vendor's approach to lesson incorporation.,low,1
Bidders must guarantee the quality of the solution architecture.,medium,1
The contract requires the vendor to achieve specific service levels for closeout management.,high,0
Bidders must agree to a clause allowing the client to require unlimited liability.,high,0
The contract requires the vendor to achieve specific service levels for quality planning.,high,0
Bidders must guarantee the compliance of the solution with industry standards.,high,0
The contract requires the vendor to achieve specific service levels for resource planning.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's data privacy practices.,high,0
The contract requires the vendor to achieve specific service levels for integration planning.,high,0
The proposal must outline the vendor's approach to assumption tracking.,low,1
Bidders must guarantee the scalability of the solution infrastructure.,medium,1
Bidders must agree to a clause allowing the client to terminate for convenience without notice.,high,0
The proposal must outline the vendor's approach to quality management.,low,1
Bidders must guarantee the interoperability of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's technical documentation.,high,0
Bidders must guarantee the functionality of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to modify the project scope at any time.,high,0
Bidders must guarantee the reliability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's security policies.,high,0
Bidders must guarantee the availability of the solution components.,medium,1
Bidders must agree to a clause allowing the client to require specific sub-contractors.,high,0
Bidders must guarantee the maintainability of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's financial stability.,high,0
Bidders must guarantee the portability of the solution components.,medium,1
Bidders must agree to a clause allowing the client to terminate for any breach.,high,0
Bidders must guarantee the accessibility of the solution components.,medium,1
Bidders must agree to a clause allowing the client to require a bank guarantee.,high,0
Bidders must guarantee the security of the solution services.,high,0
Bidders must agree to a clause allowing the client to modify the project timeline unilaterally.,high,0
Bidders must guarantee the performance of the solution components.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's insurance coverage.,high,0
Bidders must guarantee the usability of the solution components.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's change management.,high,0
Bidders must guarantee the integrity of the solution services.,high,0
Bidders must agree to a clause allowing the client to modify the project budget without approval.,high,0
Bidders must guarantee the confidentiality of the solution services.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's sub-contractor agreements.,high,0
Bidders must guarantee the availability of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to reject deliverables without justification.,high,0
Bidders must guarantee the quality of the solution services.,medium,1
Bidders must agree to a clause allowing the client to require on-site personnel at no extra cost.,high,0
Bidders must guarantee the compliance of the solution with international laws.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's time tracking.,high,0
Bidders must guarantee the scalability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to terminate for convenience immediately.,high,0
Bidders must guarantee the interoperability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's issue tracking.,high,0
Bidders must guarantee the functionality of the solution services.,medium,1
Bidders must agree to a clause allowing the client to modify the project scope arbitrarily.,high,0
Bidders must guarantee the reliability of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's risk management.,high,0
Bidders must agree to a clause allowing the client to require specific deliverables without notice.,high,0
Bidders must guarantee the maintainability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's cost management.,high,0
Bidders must guarantee the portability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to terminate for non-performance immediately.,high,0
Bidders must guarantee the accessibility of the solution services.,medium,1
Bidders must agree to a clause allowing the client to require a 10% performance bond.,medium,1
Bidders must agree to a clause allowing the client to modify the project timeline without approval.,high,0
Bidders must guarantee the performance of the solution architecture.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's procurement process.,high,0
Bidders must guarantee the usability of the solution services.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's integration testing.,high,0
Bidders must guarantee the integrity of the solution components.,high,0
Bidders must agree to a clause allowing the client to audit the vendor's environmental practices.,high,0
Bidders must agree to a clause allowing the client to reject deliverables without cause.,high,0
Bidders must agree to a clause allowing the client to terminate for convenience without penalty.,high,0
Bidders must agree to a clause allowing the client to modify the project scope unilaterally.,high,0
Bidders must guarantee the maintainability of the solution components.,medium,1
Bidders must agree to a clause allowing the client to terminate for any breach immediately.,high,0
Bidders must guarantee the accessibility of the solution features.,medium,1
Bidders must guarantee the security of the solution features.,high,0
Bidders must guarantee the performance of the solution features.,medium,1
Bidders must guarantee the usability of the solution features.,medium,1
Bidders must guarantee the integrity of the solution features.,high,0
Bidders must guarantee the confidentiality of the solution features.,high,0
Bidders must guarantee the quality of the solution features.,medium,1
